+-------------+------+--------+---------+-----------+
|  series id  | year | period |  value  | footnotes |
+-------------+------+--------+---------+-----------+
| SUUR0000SA0 | 2024 |  M12   | 175.273 |  Interim  |
| SUUR0000SA0 | 2024 |  M11   | 175.259 |  Interim  |
| SUUR0000SA0 | 2024 |  M10   | 175.412 |  Interim  |
| SUUR0000SA0 | 2024 |  M09   | 175.228 |  Interim  |
| SUUR0000SA0 | 2024 |  M08   | 175.015 |  Interim  |
| SUUR0000SA0 | 2024 |  M07   | 174.919 |  Interim  |
| SUUR0000SA0 | 2024 |  M06   | 174.743 |  Interim  |
| SUUR0000SA0 | 2024 |  M05   | 174.738 |  Interim  |
| SUUR0000SA0 | 2024 |  M04   | 174.473 |  Interim  |
| SUUR0000SA0 | 2024 |  M03   | 173.796 |           |
| SUUR0000SA0 | 2024 |  M02   | 172.700 |           |
| SUUR0000SA0 | 2024 |  M01   | 171.649 |           |
| SUUR0000SA0 | 2023 |  M12   | 170.718 |           |
| SUUR0000SA0 | 2023 |  M11   | 170.946 |           |
| SUUR0000SA0 | 2023 |  M10   | 171.421 |           |
| SUUR0000SA0 | 2023 |  M09   | 171.490 |           |
| SUUR0000SA0 | 2023 |  M08   | 171.128 |           |
| SUUR0000SA0 | 2023 |  M07   | 170.461 |           |
| SUUR0000SA0 | 2023 |  M06   | 170.303 |           |
| SUUR0000SA0 | 2023 |  M05   | 169.774 |           |
| SUUR0000SA0 | 2023 |  M04   | 169.376 |           |
| SUUR0000SA0 | 2023 |  M03   | 168.501 |           |
| SUUR0000SA0 | 2023 |  M02   | 168.069 |           |
| SUUR0000SA0 | 2023 |  M01   | 167.267 |           |
+-------------+------+--------+---------+-----------+
